JOIN_SN,JOIN_SN_TYP,BTH_YR,GENDER,IS_KRN,YM,SCTR_CD,COM_SN,IS_ME,LN_CD_1,LN_CD_2,LN_CD_3,LN_DT,LN_AMT,RATE_YN,RPY_CD,EXP_DT,RATE,RPY_AMT
1650210,1,1964,1,1,201902,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,201903,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,201810,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,201911,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,202002,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,201906,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,202006,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,201912,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,201908,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,202004,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,201809,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,201901,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,202001,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,201812,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,201807,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,201909,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,201910,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,201808,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,201811,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,201905,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,202003,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,201907,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,201904,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,201806,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1650210,1,1964,1,1,202005,24,6749565,0,31,100,0,201112,2500,0,0,0,0,0
1564265,1,1980,1,1,202006,24,585185,0,31,100,0,201806,620,1,1,202206,24000,0
1564265,1,1980,1,1,201907,24,585185,0,31,100,0,201806,630,1,1,202006,24000,0
1564265,1,1980,1,1,201806,24,585185,0,31,100,0,201806,630,0,0,0,0,0
1564265,1,1980,1,1,201904,24,585185,0,31,100,0,201806,630,1,1,201906,24000,0
1564265,1,1980,1,1,201808,24,585185,0,31,100,0,201806,630,0,0,0,0,0
1564265,1,1980,1,1,202005,24,585185,0,31,100,0,201806,620,1,1,202006,24000,0
1564265,1,1980,1,1,201910,24,585185,0,31,100,0,201806,630,1,1,202006,24000,0
1564265,1,1980,1,1,201903,24,585185,0,31,100,0,201806,630,1,1,201906,24000,0
1564265,1,1980,1,1,202003,24,585185,0,31,100,0,201806,630,1,1,202006,24000,0
1564265,1,1980,1,1,201912,24,585185,0,31,100,0,201806,630,1,1,202006,24000,0
1564265,1,1980,1,1,201901,24,585185,0,31,100,0,201806,630,0,0,0,0,0
1564265,1,1980,1,1,201807,24,585185,0,31,100,0,201806,630,0,0,0,0,0
1564265,1,1980,1,1,201811,24,585185,0,31,100,0,201806,630,0,0,0,0,0
1564265,1,1980,1,1,202002,24,585185,0,31,100,0,201806,630,1,1,202006,24000,0
1564265,1,1980,1,1,201908,24,585185,0,31,100,0,201806,630,1,1,202006,24000,0
1564265,1,1980,1,1,202004,24,585185,0,31,100,0,201806,620,1,1,202006,24000,0
1564265,1,1980,1,1,201812,24,585185,0,31,100,0,201806,630,0,0,0,0,0
1564265,1,1980,1,1,201902,24,585185,0,31,100,0,201806,630,0,0,0,0,0
1564265,1,1980,1,1,201911,24,585185,0,31,100,0,201806,630,1,1,202006,24000,0
1564265,1,1980,1,1,201810,24,585185,0,31,100,0,201806,630,0,0,0,0,0
1564265,1,1980,1,1,201905,24,585185,0,31,100,0,201806,630,1,1,201906,24000,0
1564265,1,1980,1,1,201809,24,585185,0,31,100,0,201806,630,0,0,0,0,0
1564265,1,1980,1,1,201906,24,585185,0,31,100,0,201806,630,1,1,202006,24000,0
1564265,1,1980,1,1,202001,24,585185,0,31,100,0,201806,630,1,1,202006,24000,0
1564265,1,1980,1,1,201909,24,585185,0,31,100,0,201806,630,1,1,202006,24000,0
335896,1,1981,2,1,201910,24,1408749,0,31,100,0,201602,3300,1,1,202102,24000,0
335896,1,1981,2,1,201901,24,1408749,0,31,100,0,201602,3300,0,0,0,0,0
335896,1,1981,2,1,201912,24,1408749,0,31,100,0,201602,3300,1,1,202102,24000,0
335896,1,1981,2,1,201808,24,1408749,0,31,100,0,201602,3300,0,0,0,0,0
335896,1,1981,2,1,201908,24,1408749,0,31,100,0,201602,3300,1,1,202102,24000,0
335896,1,1981,2,1,202004,24,1408749,0,31,100,0,201602,3300,1,1,202102,24000,0
335896,1,1981,2,1,201807,24,1408749,0,31,100,0,201602,3300,0,0,0,0,0
335896,1,1981,2,1,201909,24,1408749,0,31,100,0,201602,3300,1,1,202102,24000,0
335896,1,1981,2,1,201806,24,1408749,0,31,100,0,201602,3300,0,0,0,0,0
335896,1,1981,2,1,201905,24,1408749,0,31,100,0,201602,3300,0,0,0,0,0
335896,1,1981,2,1,201902,24,1408749,0,31,100,0,201602,3300,0,0,0,0,0
335896,1,1981,2,1,201907,24,1408749,0,31,100,0,201602,3300,1,1,202102,24000,0
335896,1,1981,2,1,201904,24,1408749,0,31,100,0,201602,3300,0,0,0,0,0
335896,1,1981,2,1,201812,24,1408749,0,31,100,0,201602,3300,0,0,0,0,0
335896,1,1981,2,1,202005,24,1408749,0,31,100,0,201602,3300,1,1,202102,24000,0
335896,1,1981,2,1,202001,24,1408749,0,31,100,0,201602,3300,1,1,202102,24000,0
335896,1,1981,2,1,201903,24,1408749,0,31,100,0,201602,3300,0,0,0,0,0
335896,1,1981,2,1,201809,24,1408749,0,31,100,0,201602,3300,0,0,0,0,0
335896,1,1981,2,1,202002,24,1408749,0,31,100,0,201602,3300,1,1,202102,24000,0
335896,1,1981,2,1,201906,24,1408749,0,31,100,0,201602,3300,0,0,0,0,0
335896,1,1981,2,1,201810,24,1408749,0,31,100,0,201602,3300,0,0,0,0,0
335896,1,1981,2,1,201911,24,1408749,0,31,100,0,201602,3300,1,1,202102,24000,0
335896,1,1981,2,1,201811,24,1408749,0,31,100,0,201602,3300,0,0,0,0,0
335896,1,1981,2,1,202006,24,1408749,0,31,100,0,201602,3300,1,1,202102,24000,0
335896,1,1981,2,1,202003,24,1408749,0,31,100,0,201602,3300,1,1,202102,24000,0
9212,1,1953,2,1,201903,24,4592515,0,31,100,0,201607,1700,0,0,0,0,0
9212,1,1953,2,1,201806,24,4592515,0,31,100,0,201607,1700,0,0,0,0,0
9212,1,1953,2,1,201901,24,4592515,0,31,100,0,201607,1700,0,0,0,0,0
