JOIN_SN,JOIN_SN_TYP,SCTR_CD,COM_SN,IS_ME,POL_SN,CT_RLPS_GBN_CD,CT_IN_RLTN_CD,IS_INDIV,GIS_CD
269562,1,03,8104055,0,6143494,C,01,1,37
802382,1,06,4658990,0,484553,I,01,1,31
224786,1,06,7878279,0,186633,I,01,1,99
208602,1,08,9176969,0,7930735,I,99,1,11
34304,1,08,7954902,0,1871530,I,99,1,25
1136373,1,08,8927720,0,8189705,I,99,1,11
1376236,1,08,4102126,0,5482291,I,01,1,36
1488247,1,06,9771052,0,4973836,I,01,1,31
31022,1,06,7137155,0,476356,C,01,1,22
483268,1,08,6898428,0,6963920,C,01,1,34
53998,1,06,2441205,0,9936636,C,01,1,99
1049521,1,03,2895076,0,5114687,I,01,1,31
731593,1,06,4703102,0,8743088,C,01,1,99
1484769,1,06,8534633,0,7612816,C,01,1,23
1774984,1,06,3619888,0,3168058,C,01,1,99
1925184,1,06,5051517,0,2547712,C,01,1,33
1533484,1,08,7781128,0,9106918,C,01,1,31
1564361,1,08,9314418,0,3336397,C,01,1,31
507943,1,08,5945009,0,2112206,C,01,1,31
1654458,1,08,8313870,0,4187831,C,01,1,11
1376236,1,06,5092423,0,9990769,I,01,1,99
346436,1,08,9989910,0,2919455,C,01,1,26
1079949,1,06,7937349,0,4432946,I,99,1,38
1143321,1,08,3359614,0,1973402,C,01,1,31
1507345,1,08,624720,0,1243859,I,01,1,99
892764,1,06,3495924,0,1274189,I,99,1,37
1434090,1,06,539536,0,8329610,I,03,1,99
976073,1,06,432242,0,9611122,C,99,1,23
1009619,1,08,9459504,0,5192089,I,01,1,11
1066081,1,06,614794,0,1315186,I,02,1,99
1292299,1,08,5145734,0,8923144,I,01,1,21
1134000,1,06,1677258,0,9644069,I,03,1,31
1619248,1,06,6561442,0,3543901,I,01,1,99
472461,1,06,7170323,0,4075710,C,99,1,31
1813787,1,08,9498624,0,2610947,C,01,1,11
1452264,1,06,3595482,0,4586938,I,03,1,31
1869520,1,08,6783995,0,6785313,C,01,1,31
99521,1,06,7758721,0,6669503,I,01,1,26
334986,1,08,4032035,0,5263961,C,01,1,38
1174081,1,06,7995961,0,8685668,I,01,1,99
379833,1,08,7319702,0,939148,I,01,1,32
157888,1,06,6324508,0,6729853,C,01,1,31
509081,1,06,221256,0,5220578,C,99,1,99
965420,1,08,7627046,0,4977095,I,01,1,32
1742766,1,08,3654015,0,5514644,C,01,1,34
1467759,1,08,5052295,0,4292261,C,01,1,35
1877319,1,08,9709907,0,5416722,C,01,1,31
1531900,1,06,2873334,0,2115090,I,03,1,99
837587,1,06,3283563,0,3122458,C,01,1,26
761156,1,06,9036862,0,1940433,C,99,1,31
665784,1,08,6630162,0,6826778,I,01,1,21
1362519,1,06,1400113,0,953666,C,01,1,99
1863732,1,06,8199989,0,467896,I,01,1,11
619465,1,08,3722738,0,353761,I,01,1,11
693339,1,06,3883975,0,9520351,C,01,1,99
623745,1,06,6420709,0,5745324,I,01,1,36
647789,1,06,8204717,0,6026774,C,01,1,23
1872263,1,06,9358457,0,3222411,I,99,1,99
1883759,1,08,843893,0,8822804,I,99,1,34
426720,1,06,9366848,0,7963641,C,99,1,23
1393724,1,06,5132712,0,5313591,I,03,1,22
1602098,1,08,6801417,0,4826321,I,99,1,22
206296,1,06,7247441,0,5821633,C,01,1,11
549980,1,06,4899232,0,1688535,I,02,1,99
254675,1,08,6861630,0,1256653,I,01,1,37
1489293,1,08,3113191,0,6645059,I,01,1,34
953138,1,08,1915124,0,6508686,C,01,1,11
1322251,1,08,1523924,0,8996613,C,01,1,34
1035876,1,03,8634630,0,3866331,C,01,1,35
979955,1,08,3147857,0,4702427,I,01,1,33
1141084,1,06,1156305,0,2909846,I,01,1,31
180761,1,08,1842111,0,9237043,C,01,1,21
880686,1,06,5615212,0,7040908,I,99,1,31
1602206,1,06,426338,0,5776843,C,99,1,31
1774984,1,06,3619888,0,4721132,I,01,1,99
1177753,1,06,7366951,0,2895506,I,99,1,31
1035451,1,06,3447712,0,362222,I,99,1,38
477400,1,06,2932179,0,375299,I,01,1,35
1018019,1,06,5984658,0,8132233,I,01,1,11
1745073,1,06,6571987,0,5733982,C,99,1,21
1293417,1,08,8739137,0,138960,C,01,1,21
1692745,1,06,5042531,0,4006143,I,99,1,37
1930824,1,08,9493420,0,7759777,I,03,1,32
